StoreID;StoreName;GroupStore;Type;Latitude;Longitude
1;Prima Tendean;Prima;Modern Trade;-6,2;106,816666
2;Prima Kelapa Dua;Prima;Modern Trade;-6,914864;107,608238
3;Prima Kota;Prima;Modern Trade;-7,797068;110,370529
4;Gita Ginara;Gita;General Trade;-6,966667;110,416664
5;Bonafid;Gita;General Trade;-7,250445;112,768845
6;Lingga;Lingga;Modern Trade;-5,135399;119,42379
7;Buana Indah;Buana;General Trade;3,316694;114,590111
8;Sinar Harapan;Harapan Baru;General Trade;5,54829;95,323753
9;Lingga;Lingga;Modern Trade;-3,654703;128,190643
10;Harapan Baru;Harapan Baru;General Trade;3,597031;98,678513
11;Sinar Harapan;Prestasi;General Trade;0,533505;101,447403
12;Prestasi Utama;Prestasi;General Trade;-2,990934;104,756554
13;Buana;Buana;General Trade;-1,26916;116,825264
14;Priangan;Priangan;Modern Trade;-5,45;105,26667
