TransactionID;CustomerID;Date;ProductID;Price;Qty;TotalAmount;StoreID
TR11369;328;01/01/2022;P3;7500;4;30000;12
TR16356;165;01/01/2022;P9;10000;7;70000;1
TR1984;183;01/01/2022;P1;8800;4;35200;4
TR35256;160;01/01/2022;P1;8800;7;61600;4
TR41231;386;01/01/2022;P9;10000;1;10000;4
TR51675;283;01/01/2022;P10;15000;1;15000;5
TR54287;51;01/01/2022;P8;16000;2;32000;2
TR67455;49;01/01/2022;P5;4200;3;12600;13
TR73041;222;01/01/2022;P9;10000;6;60000;4
TR7596;270;01/01/2022;P7;9400;2;18800;14
TR76340;287;01/01/2022;P4;12000;4;48000;12
TR97336;233;01/01/2022;P7;9400;2;18800;12
TR99839;123;01/01/2022;P2;3200;6;19200;1
TR14355;203;02/01/2022;P3;7500;4;30000;10
TR16534;421;02/01/2022;P3;7500;2;15000;14
TR2045;32;02/01/2022;P7;9400;4;37600;5
TR20925;159;02/01/2022;P10;15000;2;30000;13
TR26678;321;02/01/2022;P6;18000;3;54000;12
TR29436;335;02/01/2022;P6;18000;3;54000;3
TR30993;14;02/01/2022;P10;15000;2;30000;6
TR33449;18;02/01/2022;P6;18000;2;36000;9
TR34291;333;02/01/2022;P7;9400;2;18800;7
TR3533;24;02/01/2022;P6;18000;3;54000;10
TR46701;48;02/01/2022;P2;3200;6;19200;9
TR48742;87;02/01/2022;P5;4200;2;8400;3
TR63499;118;02/01/2022;P1;8800;7;61600;14
TR66576;250;02/01/2022;P7;9400;5;47000;5
TR7826;181;02/01/2022;P1;8800;10;88000;12
TR93759;34;02/01/2022;P10;15000;2;30000;4
TR10346;322;03/01/2022;P3;7500;4;30000;4
TR13;285;03/01/2022;P8;16000;1;16000;6
TR15573;91;03/01/2022;P2;3200;6;19200;13
TR21783;78;03/01/2022;P5;4200;5;21000;10
TR25759;218;03/01/2022;P5;4200;4;16800;14
TR26782;237;03/01/2022;P10;15000;4;60000;7
TR27698;178;03/01/2022;P6;18000;3;54000;8
TR31585;144;03/01/2022;P2;3200;3;9600;6
TR36491;117;03/01/2022;P3;7500;4;30000;12
TR36846;159;03/01/2022;P9;10000;2;20000;7
TR40890;224;03/01/2022;P6;18000;3;54000;14
TR45933;406;03/01/2022;P4;12000;2;24000;8
TR45980;7;03/01/2022;P3;7500;3;22500;7
TR46171;21;03/01/2022;P10;15000;3;45000;10
TR54686;106;03/01/2022;P2;3200;5;16000;10
TR74189;202;03/01/2022;P7;9400;3;28200;10
TR86483;45;03/01/2022;P8;16000;3;48000;12
TR9341;202;03/01/2022;P7;9400;5;47000;14
TR14593;311;04/01/2022;P6;18000;4;72000;9
TR14970;136;04/01/2022;P10;15000;1;15000;6
TR2102;23;04/01/2022;P5;4200;4;16800;14
TR22313;194;04/01/2022;P2;3200;4;12800;2
TR37381;243;04/01/2022;P10;15000;2;30000;7
TR41140;78;04/01/2022;P9;10000;2;20000;14
TR45300;351;04/01/2022;P6;18000;4;72000;11
TR48461;117;04/01/2022;P5;4200;2;8400;1
TR49210;189;04/01/2022;P4;12000;1;12000;7
TR50516;304;04/01/2022;P10;15000;2;30000;1
